CHAVE,COD_AFIRMACAO,AFIRMACAO,ARQUETIPO,QTD_ESTRELAS,VALOR_ESCALA,PESO,PONTOS_OBTIDOS,PONTOS_MAXIMOS,PERCETUAL
Imperativo1Q01,Q01,01. Méu líder considera as perspectivas futuras dos integrantes da sua equipe,Imperativo,1,50.0,2.0,100.0,100.0,1.0
Resoluto1Q01,Q01,01. Méu líder considera as perspectivas futuras dos integrantes da sua equipe,Resoluto,1,6.25,2.0,12.5,100.0,0.125
Cuidativo1Q01,Q01,01. Méu líder considera as perspectivas futuras dos integrantes da sua equipe,Cuidativo,1,25.0,2.0,50.0,50.0,1.0
Consultivo1Q01,Q01,01. Méu líder considera as perspectivas futuras dos integrantes da sua equipe,Consultivo,1,12.5,2.0,25.0,50.0,0.5
Prescritivo1Q01,Q01,01. Méu líder considera as perspectivas futuras dos integrantes da sua equipe,Prescritivo,1,100.0,2.0,200.0,200.0,1.0
Formador1Q01,Q01,01. Méu líder considera as perspectivas futuras dos integrantes da sua equipe,Formador,1,3.125,2.0,6.25,200.0,0.03125
Imperativo2Q01,Q01,01. Méu líder considera as perspectivas futuras dos integrantes da sua equipe,Imperativo,2,50.0,1.5,75.0,100.0,0.75
Resoluto2Q01,Q01,01. Méu líder considera as perspectivas futuras dos integrantes da sua equipe,Resoluto,2,6.25,1.5,9.375,100.0,0.09375
Cuidativo2Q01,Q01,01. Méu líder considera as perspectivas futuras dos integrantes da sua equipe,Cuidativo,2,25.0,1.5,37.5,50.0,0.75
Consultivo2Q01,Q01,01. Méu líder considera as perspectivas futuras dos integrantes da sua equipe,Consultivo,2,12.5,1.5,18.75,50.0,0.375
Prescritivo2Q01,Q01,01. Méu líder considera as perspectivas futuras dos integrantes da sua equipe,Prescritivo,2,100.0,1.5,150.0,200.0,0.75
Formador2Q01,Q01,01. Méu líder considera as perspectivas futuras dos integrantes da sua equipe,Formador,2,3.125,1.5,4.6875,200.0,0.0234375
Imperativo3Q01,Q01,01. Méu líder considera as perspectivas futuras dos integrantes da sua equipe,Imperativo,3,50.0,1.0,50.0,100.0,0.5
Resoluto3Q01,Q01,01. Méu líder considera as perspectivas futuras dos integrantes da sua equipe,Resoluto,3,6.25,1.0,6.25,100.0,0.0625
Cuidativo3Q01,Q01,01. Méu líder considera as perspectivas futuras dos integrantes da sua equipe,Cuidativo,3,25.0,1.0,25.0,50.0,0.5
Consultivo3Q01,Q01,01. Méu líder considera as perspectivas futuras dos integrantes da sua equipe,Consultivo,3,12.5,1.0,12.5,50.0,0.25
Prescritivo3Q01,Q01,01. Méu líder considera as perspectivas futuras dos integrantes da sua equipe,Prescritivo,3,100.0,1.0,100.0,200.0,0.5
Formador3Q01,Q01,01. Méu líder considera as perspectivas futuras dos integrantes da sua equipe,Formador,3,3.125,1.0,3.125,200.0,0.015625
Imperativo4Q01,Q01,01. Méu líder considera as perspectivas futuras dos integrantes da sua equipe,Imperativo,4,6.25,1.0,6.25,100.0,0.0625
Resoluto4Q01,Q01,01. Méu líder considera as perspectivas futuras dos integrantes da sua equipe,Resoluto,4,50.0,1.0,50.0,100.0,0.5
Cuidativo4Q01,Q01,01. Méu líder considera as perspectivas futuras dos integrantes da sua equipe,Cuidativo,4,12.5,1.0,12.5,50.0,0.25
Consultivo4Q01,Q01,01. Méu líder considera as perspectivas futuras dos integrantes da sua equipe,Consultivo,4,25.0,1.0,25.0,50.0,0.5
Prescritivo4Q01,Q01,01. Méu líder considera as perspectivas futuras dos integrantes da sua equipe,Prescritivo,4,3.125,1.0,3.125,200.0,0.015625
Formador4Q01,Q01,01. Méu líder considera as perspectivas futuras dos integrantes da sua equipe,Formador,4,100.0,1.0,100.0,200.0,0.5
Imperativo5Q01,Q01,01. Méu líder considera as perspectivas futuras dos integrantes da sua equipe,Imperativo,5,6.25,1.5,9.375,100.0,0.09375
Resoluto5Q01,Q01,01. Méu líder considera as perspectivas futuras dos integrantes da sua equipe,Resoluto,5,50.0,1.5,75.0,100.0,0.75
Cuidativo5Q01,Q01,01. Méu líder considera as perspectivas futuras dos integrantes da sua equipe,Cuidativo,5,12.5,1.5,18.75,50.0,0.375
